codigo_ibge,anomes_s,qtd_familias_beneficiarias_bolsa_familia_s,valor_repassado_bolsa_familia_s,pbf_vlr_medio_benef_f
150130,202512,17592,12270570.0,701.06
150140,202512,146598,97323363.0,667.84
150145,202512,2553,1878216.0,739.16
150150,202512,10792,7272574.0,675.64
150157,202512,2290,1640663.0,720.22
150160,202512,3076,2046450.0,667.68
150170,202512,23923,16632688.0,696.77
150172,202512,2841,1944940.0,690.43
150175,202512,1442,1028086.0,716.94
150178,202512,8548,6058877.0,710.64
150180,202512,23948,18780762.0,788.38
150190,202512,6101,4311205.0,708.96
150195,202512,4367,3085183.0,720.5
150200,202512,5194,3642816.0,702.84
150210,202512,32535,23016329.0,708.61
150215,202512,9506,6713318.0,708.53
150220,202512,11212,7584790.0,677.64
150230,202512,12640,8625273.0,684.38
150240,202512,21458,14346200.0,671.01
150250,202512,4418,3518508.0,800.39
150260,202512,2687,1840607.0,685.77
150270,202512,3725,2611758.0,707.41
150275,202512,7241,5144317.0,713.79
150276,202512,1645,1189080.0,724.17
150277,202512,3207,2314449.0,724.17
150280,202512,7318,5708944.0,782.48
150285,202512,2769,2069999.0,750.54
150290,202512,10187,6956255.0,684.54
150293,202512,5796,4036086.0,697.56
150295,202512,4186,3036994.0,729.0
150300,202512,2155,1531485.0,712.98
150304,202512,3128,2238107.0,717.57
150307,202512,5274,3718437.0,708.41
150309,202512,3757,2558182.0,688.05
150310,202512,6781,5332365.0,788.34
150320,202512,6778,4596202.0,679.61
150330,202512,14113,10173197.0,722.02
150340,202512,1856,1267098.0,683.81
150345,202512,7542,5346819.0,713.1
150350,202512,7492,5124838.0,690.59
150360,202512,14772,10791890.0,732.25
150370,202512,8877,6381529.0,719.86
150375,202512,3771,3367281.0,897.94
150380,202512,6593,4534060.0,690.33
150390,202512,6891,5724232.0,833.1
150400,202512,6342,4545625.0,719.36
150405,202512,6850,4750283.0,694.79
150410,202512,1481,1010447.0,684.58
150420,202512,27374,19464597.0,714.35
150430,202512,6769,4713245.0,698.05
150440,202512,5997,4142800.0,691.73
150442,202512,19018,12783205.0,673.79
150445,202512,5635,4095241.0,729.34
150450,202512,6269,5164330.0,825.9
150460,202512,8805,6282681.0,714.92
150470,202512,15574,10962502.0,705.94
150475,202512,3667,2638505.0,720.12
150480,202512,11700,8316768.0,713.27
150490,202512,7386,5419860.0,735.49
150495,202512,5125,3571892.0,698.18
150497,202512,1899,1379926.0,728.58
150500,202512,2415,1632099.0,677.22
150503,202512,2822,2017622.0,722.64
150506,202512,11431,8179978.0,719.5
150510,202512,9617,7143379.0,745.5
150520,202512,9133,6808508.0,747.94
150530,202512,10527,7932145.0,756.81
150540,202512,4051,2750236.0,691.36
150543,202512,4169,2939064.0,714.58
150548,202512,8089,5872369.0,729.49
150549,202512,1292,918334.0,711.89
150550,202512,10998,7592322.0,693.81
150553,202512,21431,14851071.0,694.92
150555,202512,1438,980985.0,685.52
150560,202512,1568,1051419.0,672.69
150563,202512,1815,1280670.0,710.3
150565,202512,3522,2495474.0,709.55
150570,202512,6794,4794665.0,707.8
150580,202512,10769,8945152.0,839.76
150590,202512,6917,5218769.0,757.11
150600,202512,8840,6623548.0,750.97
150610,202512,2370,1610053.0,681.65
150611,202512,2500,1695218.0,678.9
150613,202512,8017,5479889.0,686.36
150616,202512,2274,1550849.0,699.21
150618,202512,4820,3338000.0,695.27
150619,202512,3975,2864617.0,729.47
150620,202512,6319,4389623.0,697.87
150630,202512,6171,4238284.0,690.16
150635,202512,3300,2247797.0,684.26
150640,202512,1716,1192012.0,695.86
150650,202512,8509,5766050.0,679.16
150655,202512,4861,3363120.0,692.28
150658,202512,2234,1500371.0,672.81
150660,202512,4446,3042770.0,685.31
150670,202512,5485,3932945.0,719.4
150680,202512,45435,33185517.0,732.83
150690,202512,1778,1227279.0,691.81
150700,202512,6144,4213616.0,686.7
150710,202512,2811,1945499.0,699.82
150715,202512,3823,2708153.0,711.36
150720,202512,7319,5210664.0,713.01
150730,202512,10167,7330109.0,762.76
150740,202512,3226,2123666.0,659.73
150745,202512,4119,2886767.0,702.72
150746,202512,1199,873153.0,731.9
150747,202512,4619,3179058.0,689.3
150750,202512,2752,1992545.0,726.94
150760,202512,8406,5909462.0,704.68
150770,202512,5960,4444938.0,748.56
150775,202512,891,639277.0,719.91
150780,202512,4170,3132511.0,753.73
150790,202512,5098,3713387.0,731.7
150795,202512,12513,8979638.0,719.87
150796,202512,2734,1862896.0,682.88
150797,202512,3370,2429222.0,723.41
150800,202512,11518,8470833.0,738.78
150803,202512,7990,5469538.0,686.61
150805,202512,2405,1715827.0,713.44
150808,202512,2775,1747313.0,644.53
150810,202512,10738,7496403.0,702.11
150812,202512,4622,3197776.0,694.41
150815,202512,6796,4936132.0,729.33
150820,202512,10543,7203301.0,689.91
150830,202512,11962,8501348.0,720.76
150835,202512,2549,1783719.0,701.42
150840,202512,5421,3780671.0,699.99
160005,202512,790,555366.0,703.89
160010,202512,1808,1324321.0,736.55
160015,202512,2541,1862445.0,734.98
160020,202512,1883,1458067.0,775.57
160021,202512,897,764906.0,853.69
160023,202512,1009,773924.0,769.31
160025,202512,1979,1458808.0,739.01
160027,202512,6708,4673591.0,698.38
160030,202512,59044,42670851.0,725.9
160040,202512,4166,3339410.0,803.52
160050,202512,6104,4327321.0,710.45
160053,202512,3341,2467946.0,740.9
160055,202512,1078,804454.0,763.24
160060,202512,15706,11153525.0,718.47
160070,202512,2534,2034209.0,806.91
160080,202512,2458,1813636.0,738.45
170025,202512,228,151061.0,668.41
170030,202512,454,307200.0,678.15
170035,202512,589,414094.0,704.24
170040,202512,1045,723323.0,692.84
170070,202512,877,609457.0,696.52
170100,202512,1548,1102423.0,714.0
170105,202512,227,151791.0,674.63
170110,202512,577,418116.0,750.66
170130,202512,749,507769.0,681.57
170190,202512,775,553193.0,715.64
170200,202512,568,378643.0,670.16
170210,202512,11087,7531947.0,683.29
170215,202512,627,445652.0,711.9
170220,202512,3429,2395904.0,712.64
170230,202512,697,496108.0,713.82
170240,202512,1714,1162098.0,683.19
170255,202512,1966,1420179.0,723.11
170270,202512,392,261973.0,671.73
170290,202512,2043,1466129.0,720.81
170300,202512,1156,788180.0,684.78
170305,202512,389,270951.0,698.33
170307,202512,716,513947.0,721.84
170310,202512,636,437436.0,687.79
170320,202512,480,330575.0,691.58
170330,202512,833,593450.0,715.0
170360,202512,289,194473.0,675.25
170370,202512,641,437823.0,687.32
170380,202512,960,697153.0,730.0
170382,202512,310,219860.0,709.23
170384,202512,920,688644.0,752.62
170386,202512,243,169336.0,702.64
170388,202512,373,263827.0,711.12
170389,202512,437,320879.0,737.65
170390,202512,779,532600.0,686.34
170410,202512,290,195876.0,680.13
170460,202512,221,161301.0,729.87
170510,202512,452,320647.0,717.33
170550,202512,3670,2551352.0,699.58
170555,202512,623,417136.0,671.72
170560,202512,500,341304.0,685.35
170600,202512,803,545589.0,680.29
170610,202512,794,549993.0,694.44
170625,202512,161,108708.0,679.43
170650,202512,964,670395.0,699.06
170700,202512,1564,1053916.0,677.76
170710,202512,856,594654.0,697.13
170720,202512,928,629315.0,680.34
170730,202512,559,395687.0,710.39
170740,202512,1493,1067419.0,715.43
170755,202512,365,260990.0,720.97
170765,202512,503,343548.0,685.72
170770,202512,1118,790847.0,708.64
170820,202512,2041,1428191.0,701.12
170825,202512,579,403812.0,707.2
170830,202512,559,384454.0,693.96
170900,202512,2172,1621986.0,758.65
170930,202512,2058,1375393.0,670.92
170950,202512,3634,2508418.0,695.24
170980,202512,154,100448.0,656.52
171050,202512,1208,883471.0,734.39
171070,202512,958,671745.0,701.93
171090,202512,446,296413.0,667.6
171110,202512,262,183058.0,698.69
171150,202512,267,181652.0,680.34
171180,202512,257,181999.0,716.53
171190,202512,1611,1212112.0,755.68
171195,202512,428,324540.0,772.71
171200,202512,227,147588.0,650.17
171215,202512,218,145562.0,667.72
171240,202512,443,331193.0,749.31
171245,202512,307,205795.0,679.19
171250,202512,412,302027.0,734.86
171270,202512,316,228167.0,726.65
171280,202512,497,350781.0,711.52
171320,202512,1476,1001207.0,687.17
171330,202512,1376,942204.0,694.84
171360,202512,759,543280.0,720.53
171370,202512,282,194600.0,690.07
171380,202512,775,536807.0,692.65
171395,202512,507,360970.0,711.97
171420,202512,1037,708087.0,685.47
171430,202512,524,358454.0,696.03
171488,202512,1317,914100.0,697.79
171500,202512,316,206348.0,667.79
171510,202512,602,428206.0,713.68
171515,202512,218,144526.0,662.96
171525,202512,349,251998.0,724.13
171550,202512,122,81545.0,673.93
171570,202512,640,430345.0,684.17
171575,202512,682,440028.0,654.8
171610,202512,1540,1036534.0,677.92
171620,202512,1832,1268712.0,694.04
171630,202512,544,381881.0,720.53
171650,202512,1060,757848.0,719.02
171660,202512,1048,739866.0,707.33
171665,202512,504,331420.0,658.89
171670,202512,939,622181.0,669.01
171700,202512,578,408012.0,707.13
171720,202512,355,248512.0,702.01
171750,202512,544,393874.0,736.21
171780,202512,575,378610.0,661.91
171790,202512,714,508580.0,718.33
171800,202512,351,240419.0,686.91
171820,202512,4781,3330261.0,699.63
171830,202512,918,675258.0,736.38
171840,202512,338,219827.0,654.25
171845,202512,342,234010.0,688.26
171850,202512,789,570778.0,723.42
171855,202512,477,327801.0,688.66
171865,202512,269,194383.0,728.03
